FILENAME;PID;FILEEXTENSION;MIMETYPE;LABEL;NOTE
002894793114_A8_Andante_sostenuto.mp3;14861209;mp3;audio/mpeg;A8: Andante sostenuto;002894793114 A8 Andante sostenuto.mp3
002894793114_A9_Tempo_I.mp3;14861210;mp3;audio/mpeg;A9: Tempo I;002894793114 A9 Tempo I.mp3
002894793115_A2_Danse_sacr_e.mp3;14864168;mp3;audio/mpeg;A2: Danse sacrée;002894793115 A2 Danse sacrée.mp3
002894793115_A3_Danse_profane.mp3;14864169;mp3;audio/mpeg;A3: Danse profane;002894793115 A3 Danse profane.mp3
002894793115_A4_L_Apprenti_sorcier.mp3;14864170;mp3;audio/mpeg;A4: L'Apprenti sorcier;002894793115 A4 L'Apprenti sorcier.mp3
002894793115_A5_Introduction_et_Allegro_for_Harp_and_Orchestra.mp3;14864171;mp3;audio/mpeg;A5: Introduction et Allegro;002894793115 A5 Introduction et Allegro for Harp and Orchestra.mp3
002894793115_A7_Bolero.mp3;14864172;mp3;audio/mpeg;A7: Bolero;002894793115 A7 Bolero.mp3
002894793116_A1a_Adagio.mp3;14861245;mp3;audio/mpeg;A1a: Adagio;002894793116 A1a Adagio.mp3
002894793116_A1b_Allegro_molto.mp3;14861246;mp3;audio/mpeg;A1b: Allegro molto;002894793116 A1b Allegro molto.mp3
002894793116_A2_Largo.mp3;14861247;mp3;audio/mpeg;A2: Largo;002894793116 A2 Largo.mp3
002894793116_A3_Scherzo_Molto_vivace.mp3;14861248;mp3;audio/mpeg;A3: Scherzo Molto vivace;002894793116 A3 Scherzo Molto vivace.mp3
002894793116_A4_Allegro_con_fuoco.mp3;14861249;mp3;audio/mpeg;A4: Allegro con fuoco;002894793116 A4 Allegro con fuoco.mp3
002894793116_A5_Die_Moldau.mp3;14861250;mp3;audio/mpeg;A5: Die Moldau;002894793116 A5 Die Moldau.mp3
002894793116_A6_Les_Pr_ludes.mp3;14861251;mp3;audio/mpeg;A6: Les Préludes;002894793116 A6 Les Préludes.mp3
002894793117_A1a_Adagio.mp3;14861341;mp3;audio/mpeg;A1a: Adagio;002894793117 A1a Adagio.mp3
002894793117_A1b_Allegro_molto.mp3;14861342;mp3;audio/mpeg;A1b: Allegro molto;002894793117 A1b Allegro molto.mp3
002894793117_A2_Largo.mp3;14861343;mp3;audio/mpeg;A2: Largo;002894793117 A2 Largo.mp3
002894793117_A3_Scherzo_Molto_vivace.mp3;14861344;mp3;audio/mpeg;A3: Scherzo Molto vivace;002894793117 A3 Scherzo Molto vivace.mp3
002894793117_A4_Allegro_con_fuoco.mp3;14861345;mp3;audio/mpeg;A4: Allegro con fuoco;002894793117 A4 Allegro con fuoco.mp3
002894793117_A5_Die_Moldau.mp3;14861346;mp3;audio/mpeg;A5: Die Moldau;002894793117 A5 Die Moldau.mp3
002894793117_A6_Von_B_hmens_W_ldern_und_Feldern.mp3;14861347;mp3;audio/mpeg;A6: Von Böhmens Wäldern und Feldern;002894793117 A6 Von Böhmens Wäldern und Feldern.mp3
002894793119_A12_Introduction_und_Variationen_1_24.mp3;14861407;mp3;audio/mpeg;A12: Introduction und Variationen 1-24;002894793119 A12 Introduction und Variationen 1-24.mp3
